Series Name,Series Code,Country Name,Country Code,1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Internet users (per 100 people),IT.NET.USER.P2,Zimbabwe,ZWE,0.00173927955909959,0.00768353991953285,0.016790483892511,0.033080326724463,0.0816484762026535,0.161675527563414,0.401433535211582,0.799846045633137,3.99435613455612,6.39478645849612,6.5640450271075,8.01597808880485,9.79184150186944,10.85,11.4,11.36,11.5,15.7,17.09,18.5,19.89
Internet users (per 100 people),IT.NET.USER.P2,Cayman Islands,CYM,0,3.94896719319563,..,..,..,..,..,..,..,..,..,38.0343830823064,44.5,52,61,64.5,66,69.46594499,74.1265306872565,74.1,74.1
Internet users (per 100 people),IT.NET.USER.P2,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,14.1,15.9
Internet users (per 100 people),IT.NET.USER.P2,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Afghanistan,AFG,15869967,16772522,17481800,18034130,18511480,19038420,19701940,20531160,21487079,22507368,23499850,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506
"Population, total",SP.POP.TOTL,Albania,ALB,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900489,2897366,2894475
"Population, total",SP.POP.TOTL,Algeria,DZA,28362015,28904300,29411839,29887717,30336880,30766551,31183658,31590320,31990387,32394886,32817225,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334
"Population, total",SP.POP.TOTL,American Samoa,ASM,51807,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58648,57904,57031,56226,55636,55316,55227,55302,55434
"Population, total",SP.POP.TOTL,Andorra,ADO,62707,63854,64291,64147,63888,64161,65399,67770,71046,74783,78337,81223,83373,84878,85616,85474,84419,82326,79316,75902,72786
"Population, total",SP.POP.TOTL,Angola,AGO,12648483,13042666,13424813,13801868,14187710,14601983,15058638,15562791,16109696,16691395,17295500,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,66550,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85350,86300,87233,88152,89069,89985,90900
"Population, total",SP.POP.TOTL,Argentina,ARG,34558114,34994818,35419683,35833965,36241578,36648054,37057453,37471535,37889443,38309475,38728778,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026
"Population, total",SP.POP.TOTL,Armenia,ARM,3289943,3223173,3173425,3137652,3112958,3093820,3076098,3060036,3047249,3036420,3025982,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339,2992192,3006154
